LineId,Label,Timestamp,Date,User,Time,Location,Component,PID,Content,EventId,EventTemplate
22,-,1131566461,10/2/2005,dn754,12:01:01,dn754/dn754,crond(pam_unix),2913,session closed for user root,E117,session closed for user root
23,-,1131566461,10/3/2005,dn754,12:01:01,dn754/dn754,crond(pam_unix),2913,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
24,-,1131566461,10/4/2005,dn754,12:01:01,dn754/dn754,crond,2914,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
25,-,1131566461,10/5/2005,dn978,12:01:01,dn978/dn978,crond(pam_unix),2920,session closed for user root,E117,session closed for user root
26,-,1131566461,10/6/2005,dn978,12:01:01,dn978/dn978,crond(pam_unix),2920,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
27,-,1131566461,10/7/2005,dn978,12:01:01,dn978/dn978,crond,2921,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
28,-,1131566461,10/8/2005,eadmin1,12:01:01,src@eadmin1,crond(pam_unix),4307,session closed for user root,E117,session closed for user root
29,-,1131566461,10/9/2005,eadmin1,12:01:01,src@eadmin1,crond(pam_unix),4307,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
30,-,1131566461,10/10/2005,eadmin1,12:01:01,src@eadmin1,crond,4308,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
31,-,1131566461,10/11/2005,eadmin2,12:01:01,src@eadmin2,crond(pam_unix),12636,session closed for user root,E117,session closed for user root
32,-,1131566461,10/12/2005,eadmin2,12:01:01,src@eadmin2,crond(pam_unix),12636,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
33,-,1131566461,10/13/2005,eadmin2,12:01:01,src@eadmin2,crond,12637,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
34,-,1131566461,10/14/2005,en257,12:01:01,en257/en257,crond(pam_unix),8950,session closed for user root,E117,session closed for user root
35,-,1131566461,10/15/2005,en257,12:01:01,en257/en257,crond(pam_unix),8950,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
36,-,1131566461,10/16/2005,en257,12:01:01,en257/en257,crond,8951,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
37,-,1131566461,10/17/2005,en74,12:01:01,en74/en74,crond(pam_unix),3080,session closed for user root,E117,session closed for user root
38,-,1131566461,10/18/2005,en74,12:01:01,en74/en74,crond(pam_unix),3080,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
39,-,1131566461,10/19/2005,en74,12:01:01,en74/en74,crond,3081,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
40,-,1131566461,10/20/2005,tbird-admin1,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
41,-,1131566461,10/21/2005,tbird-admin1,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
42,-,1131566461,10/22/2005,tbird-admin1,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
43,-,1131566462,10/23/2005,#8#,12:01:02,#8#/#8#,crond(pam_unix),23469,session closed for user root,E117,session closed for user root
44,-,1131566462,10/24/2005,#8#,12:01:02,#8#/#8#,crond(pam_unix),23469,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
45,-,1131566462,10/25/2005,#8#,12:01:02,#8#/#8#,crond,23474,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
46,-,1131566463,10/26/2005,cn142,12:01:03,cn142/cn142,ntpd,7467,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
47,-,1131566463,10/27/2005,dn1021,12:01:03,dn1021/dn1021,ntpd,32563,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
48,-,1131566463,10/28/2005,dn736,12:01:03,dn736/dn736,ntpd,1119,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
49,-,1131566463,10/29/2005,tbird-admin1,12:01:03,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
50,-,1131566467,10/30/2005,cn46,12:01:07,cn46/cn46,ntpd,15291,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
51,-,1131566467,10/31/2005,tbird-admin1,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
52,-,1131566467,11/1/2005,tbird-admin1,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
53,-,1131566468,11/2/2005,tbird-admin1,12:01:08,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
54,-,1131566470,11/3/2005,bn441,12:01:10,bn441/bn441,ntpd,28489,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
55,-,1131566470,11/4/2005,cn661,12:01:10,cn661/cn661,ntpd,18505,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
56,-,1131566470,11/5/2005,tbird-sm1,12:01:10,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
57,-,1131566471,11/6/2005,dn393,12:01:11,dn393/dn393,ntpd,4696,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
58,-,1131566472,11/7/2005,tbird-admin1,12:01:12,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
59,-,1131566473,11/8/2005,cn379,12:01:13,cn379/cn379,ntpd,10573,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
60,-,1131566473,11/9/2005,cn733,12:01:13,cn733/cn733,ntpd,27716,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
61,-,1131566473,11/10/2005,tbird-admin1,12:01:13,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
62,-,1131566474,11/11/2005,cn925,12:01:14,cn925/cn925,ntpd,29072,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
63,-,1131566474,11/12/2005,tbird-sm1,12:01:14,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
64,-,1131566474,11/13/2005,tbird-sm1,12:01:14,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
65,-,1131566475,11/14/2005,tbird-admin1,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
66,-,1131566475,11/15/2005,tbird-admin1,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
67,-,1131566476,11/16/2005,tbird-admin1,12:01:16,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
68,-,1131566477,11/17/2005,cn543,12:01:17,cn543/cn543,ntpd,13785,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
69,-,1131566477,11/18/2005,tbird-admin1,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
70,-,1131566477,11/19/2005,tbird-admin1,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
71,-,1131566478,11/20/2005,cn551,12:01:18,cn551/cn551,ntpd,15308,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
72,-,1131566478,11/21/2005,dn360,12:01:18,dn360/dn360,ntpd,30984,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
73,-,1131566478,11/22/2005,tbird-admin1,12:01:18,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
74,-,1131566479,11/23/2005,#8#,12:01:19,#8#/#8#,sshd,19023,Local disconnected: Connection closed.,E67,Local disconnected: Connection closed.
75,-,1131566479,11/24/2005,#8#,12:01:19,#8#/#8#,sshd,19023,connection lost: 'Connection closed.',E30,connection lost: 'Connection closed.'
76,-,1131566479,11/25/2005,bn431,12:01:19,bn431/bn431,ntpd,28723,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
77,-,1131566480,11/26/2005,dn77,12:01:20,dn77/dn77,ntpd,9978,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
78,-,1131566480,11/27/2005,tbird-admin1,12:01:20,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
79,-,1131566482,11/28/2005,tbird-admin1,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
80,-,1131566482,11/29/2005,tbird-admin1,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
81,-,1131566482,11/30/2005,tbird-admin1,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
82,-,1131566482,12/1/2005,tbird-admin1,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
83,-,1131566483,12/2/2005,tbird-admin1,12:01:23,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
84,-,1131566484,12/3/2005,cn931,12:01:24,cn931/cn931,ntpd,29054,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
85,-,1131566484,12/4/2005,tbird-sm1,12:01:24,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
86,-,1131566485,12/5/2005,tbird-admin1,12:01:25,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
87,-,1131566486,12/6/2005,tbird-admin1,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
88,-,1131566486,12/7/2005,tbird-admin1,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
89,-,1131566486,12/8/2005,tbird-admin1,12:01:26,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
90,-,1131566487,12/9/2005,tbird-admin1,12:01:27,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
91,-,1131566488,12/10/2005,dn557,12:01:28,dn557/dn557,ntpd,31472,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
92,-,1131566488,12/11/2005,dn943,12:01:28,dn943/dn943,ntpd,3570,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
93,-,1131566488,12/12/2005,tbird-admin1,12:01:28,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
94,-,1131566488,12/13/2005,tbird-sm1,12:01:28,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
95,-,1131566488,12/14/2005,tbird-sm1,12:01:28,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
96,-,1131566490,12/15/2005,eadmin1,12:01:30,src@eadmin1,sendmail,4306,unable to qualify my own domain name (eadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
97,-,1131566491,12/16/2005,eadmin1,12:01:31,src@eadmin1,crond(pam_unix),1205,session closed for user root,E117,session closed for user root
98,-,1131566491,12/17/2005,eadmin1,12:01:31,src@eadmin1,sendmail,4306,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
99,-,1131566491,12/18/2005,eadmin1,12:01:31,src@eadmin1,sendmail,4306,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
100,-,1131566491,12/19/2005,tbird-admin1,12:01:31,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
101,-,1131566492,12/20/2005,badmin1,12:01:32,src@badmin1,sendmail,11176,unable to qualify my own domain name (badmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
102,-,1131566492,12/21/2005,cadmin1,12:01:32,src@cadmin1,sendmail,19391,unable to qualify my own domain name (cadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
103,-,1131566492,12/22/2005,cn615,12:01:32,cn615/cn615,ntpd,18517,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
104,-,1131566492,12/23/2005,dadmin1,12:01:32,src@dadmin1,sendmail,24258,unable to qualify my own domain name (dadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
105,-,1131566492,12/24/2005,tbird-admin1,12:01:32,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
106,-,1131566493,12/25/2005,cn566,12:01:33,cn566/cn566,ntpd,18010,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
107,-,1131566493,12/26/2005,tbird-admin1,12:01:33,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
108,-,1131566494,12/27/2005,cadmin1,12:01:34,src@cadmin1,crond(pam_unix),16315,session closed for user root,E117,session closed for user root
109,-,1131566494,12/28/2005,cadmin1,12:01:34,src@cadmin1,sendmail,19391,"jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
110,-,1131566494,12/29/2005,cadmin1,12:01:34,src@cadmin1,sendmail,19391,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
111,-,1131566494,12/30/2005,cn728,12:01:34,cn728/cn728,ntpd,28511,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
112,-,1131566494,12/31/2005,tbird-admin1,12:01:34,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
113,-,1131566495,1/1/2006,badmin1,12:01:35,src@badmin1,crond(pam_unix),8099,session closed for user root,E117,session closed for user root
114,-,1131566495,1/2/2006,badmin1,12:01:35,src@badmin1,sendmail,11176,"jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
115,-,1131566495,1/3/2006,badmin1,12:01:35,src@badmin1,sendmail,11176,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
116,-,1131566495,1/4/2006,dadmin1,12:01:35,src@dadmin1,crond(pam_unix),21181,session closed for user root,E117,session closed for user root
117,-,1131566495,1/5/2006,dadmin1,12:01:35,src@dadmin1,sendmail,24258,"jA9J1WFE024258: from=root, size=1597080, class=0, nrcpts=1, msgid=<200511091901.jA9J1WFE024258@dadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
118,-,1131566495,1/6/2006,dadmin1,12:01:35,src@dadmin1,sendmail,24258,"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1627080, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
119,-,1131566495,1/7/2006,tbird-admin1,12:01:35,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
120,-,1131566496,1/8/2006,cn980,12:01:36,cn980/cn980,ntpd,19676,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
121,-,1131566497,1/9/2006,tbird-admin1,12:01:37,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
122,-,1131566497,1/10/2006,tbird-admin1,12:01:37,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
123,-,1131566498,1/11/2006,tbird-admin1,12:01:38,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource
124,-,1131566498,1/12/2006,tbird-sm1,12:01:38,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
125,-,1131566499,1/13/2006,aadmin1,12:01:39,src@aadmin1,sendmail,16560,unable to qualify my own domain name (aadmin1) -- using short name,E131,unable to qualify my own domain name (<*>) -- using short name
126,-,1131566500,1/14/2006,cn822,12:01:40,cn822/cn822,ntpd,28661,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>"
127,-,1131566501,1/15/2006,aadmin1,12:01:41,src@aadmin1,crond(pam_unix),13476,session closed for user root,E117,session closed for user root
128,-,1131566501,1/16/2006,aadmin1,12:01:41,src@aadmin1,dhcpd,,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,E36,DHCPDISCOVER from <*> via eth1
129,-,1131566501,1/17/2006,aadmin1,12:01:41,src@aadmin1,dhcpd,,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E38,DHCPOFFER on <*> to <*> via eth1
130,-,1131566501,1/18/2006,aadmin1,12:01:41,src@aadmin1,sendmail,16560,"jA9J1dQ7016560: from=root, size=1595423, class=0, nrcpts=1, msgid=<200511091901.jA9J1dQ7016560@aadmin1>, relay=#7#@localhost",E15,"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost"
131,-,1131566501,1/19/2006,aadmin1,12:01:41,src@aadmin1,sendmail,16560,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",E16,"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]"
